"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08","WT09"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-29","10.51",,"0.02","0.2","0.0","34","37","28","  300","  290","28.0","40.0","    1",,,,"    1",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-11-30","12.30",,"0.03","0.0","0.0","36","42","32","  290","  310","23.9","33.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-01","5.82",,"0.00","0.0","0.0","38","44","30","  290","  290","16.1","21.9",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-02","4.70",,"0.02","0.0","0.0","40","47","37","  210","  200","12.1","14.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-03","3.80",,"0.00","0.0","0.0","40","45","35","  320","  330","8.1","11.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-04","12.53",,"1.27","0.0","0.0","40","48","36","  130","  130","23.9","38.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-05","15.88",,"0.05","0.5","0.0","42","54","24","  240","  220","27.1","51.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-06","14.99",,"0.28","3.3","0.0","24","27","21","  240","  270","23.0","33.1","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-07","7.83",,"0.06","1.4","3.9","22","27","19","  240","  290","21.0","25.9","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-08","7.83",,"0.25","5.0","5.1","20","23","16","  330","  330","17.0","21.9","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-12-09","6.26",,"0.03","0.9","7.9","17","23","13","  320","  300","16.1","23.0","    1",,,,,
